district,local_unit,unit_type,join_key,pop_total,pop_affected,pop_unaffected,affected_pct,data_status
Rasuwa,Gosaikunda,Rural Municipality,Rasuwa | Gosaikunda,"7,788","2,389","5,399",30.7%,Ready
Rasuwa,Kalika,Rural Municipality,Rasuwa | Kalika,"10,115",61,"10,054",0.6%,Ready
Rasuwa,Aama chhodingmo,Rural Municipality,Rasuwa | Aama chhodingmo,"6,673",546,"6,127",8.2%,Ready
Rasuwa,Uttargaya,Rural Municipality,Rasuwa | Uttargaya,"8,555","1,534","7,021",17.9%,Ready
Nuwakot,Belkotgadhi,Municipality,Nuwakot | Belkotgadhi,"35,224","5,832","29,392",16.6%,Ready
Nuwakot,Bidur,Municipality,Nuwakot | Bidur,"59,227","25,354","33,873",42.8%,Ready
Nuwakot,Kispang,Rural Municipality,Nuwakot | Kispang,"14,235","1,701","12,534",11.9%,Ready
Nuwakot,Tarakeshwor,Rural Municipality,Nuwakot | Tarakeshwor,"14,184","1,731","12,453",12.2%,Ready
Dhading,Benighat Rorang,Rural Municipality,Dhading | Benighat Rorang,"33,854","11,313","22,541",33.4%,Ready
Dhading,Gajuri,Rural Municipality,Dhading | Gajuri,"28,634","7,991","20,643",27.9%,Ready
Dhading,Galchhi,Rural Municipality,Dhading | Galchhi,"23,733","6,537","17,196",27.5%,Ready
Dhading,Siddhalek,Rural Municipality,Dhading | Siddhalek,"22,214","3,352","18,862",15.1%,Ready
Gorkha,Gandaki,Rural Municipality,Gorkha | Gandaki,"21,394","2,686","18,708",12.6%,Ready
Tanahu,Aanbu Khaireni,Rural Municipality,Tanahu | Aanbu Khaireni,"22,252","1,635","20,617",7.3%,Ready
Tanahu,Devghat,Rural Municipality,Tanahu | Devghat,"14,584","4,162","10,422",28.5%,Ready
